"null";"90.01";"Optik lifler ve optik lif demetleri; optik lif kabloları (85.44 pozisyonundakiler ";;
"null";;"hariç); yaprak veya levha halinde polarizan maddeler; her tür maddeden ";;
"null";;"mercekler (kontakt lensler dahil), prizmalar, aynalar ve diğer optik ";;
"null";;"elemanlar (monte edilmemiş) (optik tarzda işlenmemiş camdan ";;
"null";;"bu tür elemanlar hariç) :";;
"null";"9001.10";" - Optik lifler, optik Iif demetleri ve kabloları:";;
"null";;" - - Görüntü iletici kablolar:";;
"null";"9001.10.10.10.00";" - - - Camdan olanlar";"-";30
"null";"9001.10.10.90.00";" - - - Diğerleri";"-";30
"null";;" - - Diğerleri:";" ";
"null";"9001.10.90.10.00";" - - - Optik tarzda işlenmemiş olanlar";"-";15
"null";;" - - - Diğerleri:";" ";
"null";"9001.10.90.91.00";" - - - - Camdan olanlar";"-";30
"null";"9001.10.90.99.00";" - - - - Diğerleri";"-";30
"null";"9001.20";" - Yaprak veya levha halinde polarizan maddeler:";" ";
"null";"9001.20.00.10.00";" - - Camdan olanlar";"-";30
"null";"9001.20.00.90.00";" - - Diğerleri";"-";30
"null";"9001.30.00.00.00";" - Kontak lensler";"Adet";30
"null";"9001.40";" - Camdan gözlük camları:";;
"null";"9001.40.20.00.00";" - - Görme kusurunun giderilmesine mahsus olmayanlar";"Adet";30
"null";;" - - Görme kusurunun giderilmesine mahsus olanlar:";;
"null";;" - - - Her iki yüzü de işlenmiş olanlar:";;
"null";"9001.40.41.00.00";" - - - - Tek odaklılar";"Adet";30
"null";"9001.40.49.00.00";" - - - - Diğerleri";"Adet";30
"null";"9001.40.80.00.00";" - - - Diğerleri";"Adet";30
"null";"9001.50";" - Diğer maddelerden gözlük camları:";;
"null";"9001.50.20.00.00";" - - Görme kusurunun giderilmesine mahsus olmayanlar";"Adet";30
"null";;" - - Görme kusurunun giderilmesine mahsus olanlar:";;
"null";;" - - - Her iki yüzü de işlenmiş olanlar:";;
"null";"9001.50.41.00.00";" - - - - Tek odaklılar";"Adet";30
"null";"9001.50.49.00.00";" - - - - Diğerleri";"Adet";30
"null";"9001.50.80.00.00";" - - - Diğerleri";"Adet";30
"null";"9001.90";" - Diğerleri:";;
"null";;" - - Sivil hava taşıtlarında kullanılmaya mahsus olanlar: ";;
"null";"9001.90.00.11.00";" - - - Camdan olanlar";"-";30
"null";"9001.90.00.19.00";" - - - Diğerleri";"-";30
"null";;" - - Diğerleri:";;
"null";"9001.90.00.91.00";" - - - Camdan olanlar";"-";30
"null";"9001.90.00.99.00";" - - - Diğerleri";"-";30
"null";;;;
"null";"90.02";"Alet ve cihazlar için her tür maddeden monte edilmiş mercekler,";;
"null";;"prizmalar, aynalar ve diğer optik elemanlar (optik tarzda işlenme-";;
"null";;"miş camdan bu tür elemanlar hariç):";;
"null";;" - Objektif mercekleri:";;
"null";"9002.11";" - - Kamera, projektör, fotoğraf veya sinematografik büyültme veya";;
"null";;"     küçültme cihazlarına mahsus olanlar:";;
"null";"9002.11.00.10.00";" - - - Camdan olanlar";"Adet";40
"null";"9002.11.00.90.00";" - - - Diğerleri";"Adet";40
"null";"9002.19";" - - Diğerleri:";;
"null";"9002.19.00.10.00";" - - - Camdan olanlar";"Adet";40
"null";"9002.19.00.90.00";" - - - Diğerleri";"Adet";40
"null";"9002.20";" - Filtreler:";;
"null";"9002.20.00.10.00";" - - Camdan olanlar";"Adet";40
"null";"9002.20.00.90.00";" - - Diğerleri";"Adet";40
"null";"9002.90";" - Diğerleri:";;
"null";;" - - Sivil hava taşıtlarında kullanılmaya mahsus olanlar: ";;
"null";"9002.90.00.11.00";" - - - Camdan olanlar";"-";40
"null";"9002.90.00.19.00";" - - - Diğerleri";"-";40
"null";;" - - Diğerleri:";;
"null";"9002.90.00.91.00";" - - - Camdan olanlar";"-";40
"null";"9002.90.00.99.00";" - - - Diğerleri";"-";40
"null";;;;
"null";"90.03";"Gözlüklere veya benzeri eşyaya ait çerçeveler ve bunların aksam ";;
"null";;"ve parçaları:";;
"null";;" - Çerçeveler:";;
"null";"9003.11.00.00.00";" - - Plastik maddelerden olanlar";"Adet";100
"null";"9003.19.00.00.00";" - - Diğer maddelerden olanlar";"Adet";100
"null";"9003.90.00.00.00";" - Aksam ve parçalar";"-";100
"null";;;" ";
"null";"90.04";"Gözlükler ve benzerleri (görme kusurunun giderilmesine mahsus";;
"null";;"gözlükler, koruyucu gözlükler ve diğer gözlükler):";;
"null";"9004.10";" - Güneş gözlükleri:";;
"null";"9004.10.10.00.00";" - - Optik tarzda işlenmiş camlı olanlar";"Adet";100
"null";;" - - Diğerleri:";;
"null";"9004.10.91.00.00";" - - - Plastik camlı olanlar";"Adet";100
"null";"9004.10.99.00.00";" - - - Diğerleri";"Adet";100
"null";"9004.90";" - Diğerleri:";;
"null";" ";" - - Plastik camlı olanlar";;
"null";"9004.90.10.00.11";" - - - Optik tarzda işlenmiş camları olanlar";"-";100
"null";"9004.90.10.00.12";" - - - Röntgen gözlükleri";"-";100
"null";"9004.90.10.00.19";" - - - Diğerleri";"-";100
"null";" ";" - - Diğerleri";" ";
"null";"9004.90.90.00.11";" - - - Optik tarzda işlenmiş camları olanlar";"-";100
"null";"9004.90.90.00.12";" - - - Röntgen gözlükleri";"-";100
"null";"9004.90.90.00.19";" - - - Diğerleri";"-";100
"null";;;;
"null";"90.05";"Çift gözlü dürbünler, tek gözlü dürbünler, diğer optik teleskoplar ve";;
"null";;"bunların mesnetleri; diğer astronomi aletleri ve bunların mesnetleri";;
"null";;"(telsiz astronomi cihazları hariç):";;
"null";"9005.10.00.00.00";" - Çift gözlü dürbünler";"Adet";50
"null";"9005.80";" - Diğer aletler:";;
"null";"9005.80.00.10.00";" - - Tek gözlü dürbünler";"-";50
"null";" ";" - - Diğerleri";;
"null";"9005.80.00.90.11";" - - - Optik teleskoplar";"-";20
"null";"9005.80.00.90.19";" - - - Diğerleri";"-";20
"null";"9005.90";" - Aksam, parça ve aksesuar (mesnetleri dahil):";;
"null";"9005.90.00.10.00";" - - Dürbünlere ait olanlar";"-";50
"null";"9005.90.00.90.00";" - - Diğerleri";"-";20
"null";;;;
"null";"90.06";"Fotoğraf makinaları (sinematografik olanlar hariç); fotoğrafçılıkta";;
"null";;"flaş ışığı meydana getirmeye mahsus cihazlar ve flaş lambaları";;
"null";;"( 85.39 pozisyonundaki deşarj lambaları hariç):";;
"null";"9006.30.00.00.00";" - Denizaltında, hava haritacılığında veya iç organların tıbbi veya";;
"null";;"   cerrahi incelemesinde kullanılmak üzere özel olarak imal edil-";;
"null";;"   miş fotoğraf makinaları; adli tıp veya kriminolojik amaçlar için";;
"null";;"   mukayese yapan fotoğraf makinaları";"Adet";60
"null";"9006.40.00.00.00";" - Anında fotoğraf veren makinalar";"Adet";60
"null";;" - Diğer fotoğraf makinaları:";;
"null";"9006.53";" - - Genişliği 35 mm. olan rulo halindeki filmler için";;
"null";;"     fotoğraf makinaları:";;
"null";"9006.53.10.00.00";" - - - Kullanılıp atılabilir (dispozıbıl) fotoğraf makinaları";"Adet";60
"null";"9006.53.80.00.00";" - - - Diğerleri";"Adet";60
"null";"9006.59.00.00.00";" - - Diğerleri";"Adet";60
"null";;" - Fotoğrafçılıkta flaş ışığı meydana getirmeye mahsus cihazlar ve";;
"null";;"   flaş lambaları:     ";;
"null";"9006.61.00.00.00";" - - Flaş ışığı meydana getirmeye mahsus deşarj lambalı cihazlar ";;
"null";;"     (elektronik flaşlar)";"Adet";60
"null";"9006.69";" - - Diğerleri:";;
