"null";"81.01";"Tungsten (volfram) ve tungstenden eşya (döküntü ve hurdalar dahil) :";;
"null";"8101.10.00.00.00";" - Tozlar";"-";30
"null";;" - Diğerleri:";;
"null";"8101.94.00.00.00";" - - İşlenmemiş tungsten (sadece sinterleme yoluyla elde edilen";;
"null";;"     çubuklar dahil)";"-";10
"null";"8101.96.00.00.00";" - - Teller";"-";30
"null";"8101.97";" - -  Döküntü ve hurdalar:";;
"null";"8101.97.00.10.00";" - - - Döküntüler";"-";10
"null";"8101.97.00.90.00";" - - - Hurdalar";"-";30
"null";"8101.99";" - - Diğerleri:";" ";
"null";"8101.99.10.00.00";" - - - Çubuklar ve miller  (sadece sinterlenme yoluyla elde edilenler hariç), profiller,";;
"null";;"       saclar, şeritler ve yapraklar";"-";30
"null";;" - - - Diğerleri:";;
"null";"8101.99.90.10.00";" - - - - Tungstenden mamul eşya";"-";30
"null";;" - - - - Diğerleri :";;
"null";"8101.99.90.90.11";" - - - - - Tungstenden mamul flamanlar ";"-";30
"null";"8101.99.90.90.19";" - - - - - Diğerleri";"-";30
"null";;;;
"null";"81.02";"Molibden ve molibdenden eşya (döküntü ve hurdalar dahil) :";;
"null";"8102.10.00.00.00";" - Tozlar";"-";10
"null";;" - Diğerleri:";" ";
"null";"8102.94.00.00.00";" - - İşlenmemiş molibden (sadece sinterleme yoluyla elde edilen çu-";" ";
"null";;"     buklar dahil)";"-";10
"null";"8102.95";" - - Çubuklar (sadece sinterleme yoluyla elde edilenler hariç), profil-";;
"null";;"      ler, saclar, şeritler ve yapraklar :";;
"null";"8102.95.00.00.11";" - - - Çubuklar";"-";10
"null";"8102.95.00.00.12";" - - - Profiller";"-";10
"null";"8102.95.00.00.13";" - - - Saclar";"-";10
"null";"8102.95.00.00.14";" - - - Şeritler";"-";10
"null";"8102.95.00.00.15";" - - - Yapraklar";"-";10
"null";"8102.96.00.00.00";" - - Teller";"-";10
"null";"8102.97";" - - Döküntü ve hurdalar :";;
"null";"8102.97.00.10.00";" - - - Döküntüler";"-";30
"null";"8102.97.00.90.00";" - - - Hurdalar";"-";30
