"null";"73.01";"Demir veya çelikten palplanşlar (delinmiş veya birleştirilmiş parçalardan";;
"null";;"yapılmış olsun olmasın); demir veya çelikten kaynak yapılmış profiller:";;
"null";"7301.10";" - Palplanşlar";;
"null";"7301.10.00.00.11";" - - Çatılmış palplanşlar";"-";30
"null";"7301.10.00.00.12";" - - Çatılmamış palplanşlar";"-";30
"null";"7301.20.00.00.00";" - Profiller";"-";40
"null";;;;
"null";"73.02";"Demir veya çelikten demiryolu ve tramvay hattı malzemesi; raylar,";;
"null";;"kontrraylar, makas dilleri, makas göbekleri, kruvazman ve makaslar,";;
"null";;"gergi çubukları, dişli raylar, traversler, cebireler, yastık ve köşelikler,";;
"null";;"seletler, sıkıştırma levhaları ve kramponlar, rayların döşenmesi, eklen-";;
"null";;"mesi veya sabitleştirilmesi için bağlantı levha ve çubukları ile özel ";;
"null";;"olarak imal edilmiş diğer parçalar:";;
"null";"7302.10";" - Raylar:";;
"null";"7302.10.10.00.00";" - - Elektrik iletici raylar (demirli olmayan metal aksamı ile birlikte)";"-";25
"null";;" - - Diğerleri: ";;
"null";;" - - - Yeni olanlar:";;
"null";;" - - - - Yassı tabanlı simetrik demiryolu rayları:";;
"null";"7302.10.22.00.00";" - - - - - Bir metresinin ağırlığı 36 kg. veya daha fazla olanlar ";"-";25
"null";"7302.10.28.00.00";" - - - - - Bir metresinin ağırlığı 36 kg. dan az olanlar ";"-";25
"null";"7302.10.40.00.00";" - - - - Oluklu raylar";"-";25
"null";"7302.10.50.00.00";" - - - - Diğerleri";"-";25
"null";"7302.10.90.00.00";" - - - Kullanılmış olanlar ";"-";25
"null";"7302.30.00.00.00";" - Makas dilleri, makas göbeği, diğer kruvazman ve makas elemanları";"-";25
"null";"7302.40";" - Cebireler ve seletler:";;
"null";"7302.40.00.00.11";" - - Haddelenmiş ";"-";25
"null";"7302.40.00.00.19";" - - Diğerleri";"-";25
"null";"7302.90";" - Diğerleri:";;
"null";"7302.90.00.10.00";" - -Kontr -raylar";"-";25
"null";"7302.90.00.20.00";" - -Traversler ";"-";25
"null";;" - - Diğerleri";;
"null";"7302.90.00.90.11";" - - - Dişli raylar";"-";25
"null";"7302.90.00.90.19";" - - - Diğer raylar";"-";25
"null";"7302.90.00.90.29";" - - - Diğerleri";"-";25
"null";;;;
"null";"7303.00";"Demir dökümden ince ve kalın borular, içi boş profiller:";;
"null";;" - Basınç sistemlerinde kullanılacak türde olan ince ve kalın borular";;
"null";"7303.00.10.00.11";" - - Çapı 200 mm. yi geçmeyen ince ve kalın borular";"-";30
"null";"7303.00.10.00.12";" - - Çapı 200 mm. yi geçen ince ve kalın borular";"-";30
"null";;" - Diğerleri";;
"null";;" - - Çapı 200 mm. yi geçmeyen ince ve kalın borular";;
"null";"7303.00.90.00.13";" - - - Lamel grafitli gri pik döküm borular";"-";30
"null";"7303.00.90.00.14";" - - - Diğerleri";"-";30
"null";;" - - Çapı 200 mm. yi geçen ince ve kalın borular";;
"null";"7303.00.90.00.15";" - - - Lamel grafitli gri pik döküm borular";"-";30
"null";"7303.00.90.00.16";" - - - Diğerleri";"-";30
"null";"7303.00.90.00.19";" - - Diğerleri";"-";30
"null";;;;
"null";"73.04";"Demir (döküm demir hariç) ve çelikten ince ve kalın borular ve içi boş";;
"null";;"profiller (dikişsiz):";;
"null";;" - Gaz veya petrol boru hatlarında kullanılan ince ve kalın borular:";;
"null";"7304.11.00.00.00";" - - Paslanmaz çelikten olanlar";"-";30
"null";;" - - Diğerleri";;
"null";;" - - - Dış capı 168,3 mm.yi geçmeyenler";;
"null";"7304.19.10.00.11";" - - - - Dış çapı 73 mm. yi geçmeyenler";"-";30
"null";"7304.19.10.00.12";" - - - - Dış çapı 73 mm. yi geçen, fakat 168,3 mm. yi geçmeyenler";"-";30
"null";;" - - - Dış çapı 168,3 mm. yi geçen fakat 406,4 mm.yi geçmeyenler";;
"null";"7304.19.30.00.11";" - - - - Dış çapı 168,3 mm. yi geçen, fakat 219 mm. yi geçmeyenler";"-";30
"null";"7304.19.30.00.12";" - - - - Dış çapı 219 mm. yi geçen, fakat 406,4 mm. yi geçmeyenler";"-";30
"null";"7304.19.90.00.00";" - - - Dış çapı 406,4 mm. yi geçenler";"-";30
"null";;" - Gaz veya petrol sondajında, mahfaza veya üretiminde kullanılan";;
"null";;"   boruIar:";;
"null";"7304.22";" - - Paslanmaz çelikten sondaj boruları :";;
"null";"7304.22.00.10.00";" - - - Borular";"-";30
"null";"7304.22.00.90.00";" - - - Aksam ve parçalar";"-";15
"null";"7304.23";" - - Diğer sondaj boruları :";;
"null";"7304.23.00.10.00";" - - - Borular";"-";30
"null";"7304.23.00.90.00";" - - - Aksam ve parçalar";"-";15
"null";"7304.24";" - - Diğerleri, paslanmaz çelikten olanlar:";;
"null";"7304.24.00.10.00";" - - - Borular";"-";30
"null";"7304.24.00.90.00";" - - - Aksam ve parçalar";"-";15
"null";"7304.29";" - - Diğerleri:";;
"null";;" - - - Dış çapı 168,3 mm. yi geçmeyenler:";;
"null";"7304.29.10.10.00";" - - - - Borular";"-";30
"null";"7304.29.10.90.00";" - - - - Aksam ve parçalar";"-";15
"null";;" - - - Dış çapı 168,3mm.yi geçen, fakat 406,4 mm.yi geçmeyenler:";;
"null";;" - - - - Borular";;
"null";"7304.29.30.10.11";" - - - - - Dış çapı 244,5 mm.yi geçmeyenler ";"-";30
"null";"7304.29.30.10.12";" - - - - - Dış çapı 244,5 mm.yi geçen, fakat 406,4 mm.yi geçmeyenler";"-";30
"null";"7304.29.30.90.00";" - - - - Aksam ve parçalar";"-";15
"null";;" - - - Dış çapı 406,4 mm. yi geçenler:";;
"null";"7304.29.90.10.00";" - - - - Borular";"-";30
"null";"7304.29.90.90.00";" - - - - Aksam ve parçalar";"-";15
"null";;" - Diğerleri (demirden veya alaşımsız çelikten, kesiti daire şeklinde";;
"null";;"   olanlar):";;
"null";"7304.31";" - - Soğuk çekilmiş veya soğuk haddelenmiş:";;
"null";;" - - - Hassas borular";;
"null";"7304.31.20.10.00";" - - - - Sivil hava taşıtlarında kullanılmaya mahsus, gaz ve sıvıların";;
"null";;"        naklinde kullanılan türde olanlar (bağlantı parçaları takılmış) ";"-";30
"null";"7304.31.20.90.00";" - - - - Diğerleri";"-";30
"null";;" - - - Diğerleri ";;
"null";"7304.31.80.10.00";" - - - - Sivil hava taşıtlarında kullanılmaya mahsus, gaz ve sıvıların";;
"null";;"        naklinde kullanılan türde olanlar (bağlantı parçaları takılmış) ";"-";30
"null";"7304.31.80.90.00";" - - - - Diğerleri:";"-";30
"null";"7304.39";" - - Diğerleri:";;
"null";;" - - - Diş açılmış veya diş açılabilen borular (gaz borusu)";;
"null";"7304.39.50.10.00";" - - - - Sivil hava taşıtlarında kullanılmaya mahsus, gaz ve sıvıların naklinde";;
"null";;"       kullanılan türde olanlar (bağlantı parçası takılmış)";"-";30
"null";"7304.39.50.90.00";" - - - - Diğerleri ";"-";30
"null";;" - - - Diğerleri:";;
"null";;" - - - - Dış çapı 168,3 mm. yi geçmeyenler:";;
"null";"7304.39.82.10.00";" - - - - - Sivil hava taşıtlarında kullanılmaya mahsus, gaz ve sıvıların naklinde";;
"null";;"       kullanılan türde olanlar (bağlantı parçası takılmış)";"-";30
"null";"7304.39.82.90.00";" - - - - - Diğerleri ";"-";30
"null";;" - - - - Dış çapı 168,3 mm.yi geçen fakat 406,4 mm.yi geçmeyenler:";;
