"null";;"                               I.  KİMYASAL ELEMENTLER";;
"null";"28.01";"Flor, klor, brom ve iyot:";;
"null";"2801.10.00.00.00";" - Klor";"-";25
"null";"2801.20";" - İyot :";" ";
"null";"2801.20.00.10.00";" - - Resüblime iyot";"-";25
"null";"2801.20.00.90.00";" - - Diğerleri";"-";25
"null";"2801.30";" - Flor; brom:";" ";
"null";"2801.30.10.00.00";" - - Flor";"-";25
"null";"2801.30.90.00.00";" - - Brom";"-";25
"null";;;" ";
"null";"2802.00.00.00.00";"Süblime veya çöktürülmüş kükürt; kolloidal kükürt";"-";30
"null";;;;
"null";"2803.00";"Karbon [karbon karaları (carbon blacks) ve tarifenin başka";;
"null";;"yerinde belirtilmeyen veya yer almayan diğer şekillerdeki karbon]:";;
"null";"2803.00.00.10.00";" - Petrol gazı karası (metan karası)";"-";30
"null";"2803.00.00.20.00";" - Bitkisel karalar";"-";5
"null";;" - Diğerleri:";" ";" "
"null";"2803.00.00.90.11";" - - İskarası";"-";30
"null";"2803.00.00.90.12";" - - Antrasen";"-";30
"null";"2803.00.00.90.19";" - - Diğerleri";"-";30
"null";;;;
"null";"28.04";"Hidrojen, asal gazlar ve diğer ametaller:";;
"null";"2804.10.00.00.00";" - Hidrojen";"   m3 (1)";50
"null";;" - Asal gazlar:";;
"null";"2804.21.00.00.00";" - - Argon";"   m3 (1)";15
"null";"2804.29";" - - Diğerleri:";" ";" "
"null";"2804.29.10.00.00";" - - - Helyum";"   m3 (1)";15
"null";;" - - - Diğerleri";;
"null";"2804.29.90.00.12";" - - - - Neon";"   m3 (1)";15
"null";"2804.29.90.00.19";" - - - - Diğer asal gazlar";"   m3   (1) ";15
"null";"2804.30.00.00.00";" - Azot";"   m3 (1)";15
"null";"2804.40.00.00.00";" - Oksijen";"   m3 (1) ";15
"null";"2804.50";" - Bor; tellür:";;
"null";"2804.50.10.00.00";" - - Bor";"-";15
"null";"2804.50.90.00.00";" - - Tellür";"-";15
"null";;" - Silisyum :";" ";
"null";"2804.61.00.00.00";" - - Ağırlık itibariyle en az % 99,99 silisyum içerenler";"-";15
"null";"2804.69.00.00.00";" - - Diğerleri";"-";15
"null";"2804.70";" - Fosfor:";" ";
"null";"2804.70.10.00.00";" - - Kırmızı fosfor";"-";15
"null";"2804.70.90.00.00";" - - Diğerleri";"-";15
