"null";;"I.İLK MADDELER ;GRANÜL VEYA TOZ HALİNDEKİ ÜRÜNLER";;
"null";;;;
"null";"72.01";"Dökme demir (pik demir) ve aynalı demir (kütle, külçe, blok veya";;
"null";;"diğer ilk şekillerde) : ";;
"null";"7201.10";" - Ağırlık itibariyle % 0,5 veya daha az fosfor içeren alaşımsız";;
"null";;"   dökme demir: ";;
"null";;" - - Ağırlık itibariyle en az %0,4 manganez içerenler:";;
"null";"7201.10.11.00.00";" - - - Ağırlık itibariyle içerdiği silisyum oranı %1 'i geçmeyenler ";"-";10
"null";"7201.10.19.00.00";" - - - Ağırlık itibariyle içerdiği silisyum oranı %1 'i geçenler";"-";10
"null";"7201.10.30.00.00";" - - Ağırlık itibariyle en az %0,1 ,fakat %0,4' den az manganez içerenler ";"-";10
"null";"7201.10.90.00.00";" - - Ağırlık itibariyle %0,1' den az manganez içerenler";"-";10
"null";"7201.20";" - Ağırlık itibariyle % 0,5 den fazla fosfor içeren alaşımsız dökme";;
"null";;"   demir";;
"null";"7201.20.00.00.11";" - - Ağırlık itibariyle %1 veya daha az silisyum içerenler ";"-";10
"null";"7201.20.00.00.12";" - - Ağırlık itibariyle %1' den fazla silisyum içerenler ";"-";10
"null";"7201.50";" - Alaşımlı dökme demir; aynalı demir:";;
"null";"7201.50.10.00.00";" - - Ağırlık itibariyle en az % 0,3, en fazla % 1 titanyum ve en az % 0,5,  ";;
"null";" ";"     en fazla % 1 vanadyum içerenler";"-";10
"null";"7201.50.90.00.00";" - - Diğerleri ";"-";10
"null";;;;
"null";"72.02";"Ferro -alyajlar:";;
"null";;" - Ferro -manganez:";;
"null";"7202.11";" - - Ağırlık itibariyle %2'den fazla karbon içerenler: ";;
"null";"7202.11.20.00.00";" - - - Granülometrisi (tane boyutu) 5 mm. yi geçmeyen ve ağırlık itibariyle";;
"null";;"        manganez miktarı % 65'i geçenler";"-";5
"null";"7202.11.80.00.00";" - - - Diğerleri";"-";5
"null";"7202.19";" - - Diğerleri:";;
"null";"7202.19.00.00.11";" - - - Granülometrisi (tane boyutu) 0,4 mm'yi geçmeyen ve ";;
"null";;"       ağırlık itibariyle manganez miktarı %78'i geçenler";"-";5
"null";"7202.19.00.00.19";" - - - Diğerleri";"-";5
"null";;" - Ferro -silisyum:";;
"null";"7202.21";" - - Ağırlık itibariyle % 55' den fazla silisyum içerenler:";;
"null";"7202.21.00.00.11";" - - - Ağırlık itibariyle % 55' den fazla fakat % 80' (dahil)den az silisyum";;
"null";;"        içerenler";"-";5
