"null";"27.01";"Taşkömürü; taşkömüründen elde edilen briketler,topak ve";;
"null";;"benzeri katı yakıtlar:";;
"null";;" - Taşkömürü (toz haline getirilmiş olsun olmasın fakat";;
"null";;"   aglomere edilmemiş):";;
"null";"2701.11.00.00.00";" - - Antrasit  ";"-";60
"null";"2701.12";" - - Bitümenli taşkömürü :";" ";
"null";"2701.12.10.00.00";" - - - Kokluk taşkömürü";"-";60
"null";"2701.12.90.00.00";" - - - Diğerleri ";"-";60
"null";"2701.19.00.00.00";" - - Diğer taşkömürleri";"-";60
"null";"2701.20";" - Taşkömüründen elde edilen briketler,topak ve benzeri";;
"null";;"   katı yakıtlar ";;
"null";"2701.20.00.00.11";" - - Briketler";"-";60
"null";"2701.20.00.00.12";" - - Topaklar";"-";60
"null";"2701.20.00.00.19";" - - Diğerleri";"-";60
"null";;;;
"null";"27.02";"Linyit (aglomere edilmiş olsun olmasın) (siyah kehribar hariç) :";;
"null";"2702.10.00.00.00";" - Linyit (toz haline getirilmiş olsun olmasın fakat aglomere edil -";;
"null";;"   memiş) ";"-";60
"null";"2702.20.00.00.00";" - Aglomere linyit ";"-";60
"null";;;;
"null";"2703.00";"Turba (turba döküntüleri dahil) (aglomere edilmiş olsun olmasın)";;" "
"null";"2703.00.00.00.11";"- Tarımda kullanılan turba ";"-";60
"null";"2703.00.00.00.12";"- Tarımda kullanılan aglomere turba ";"-";60
"null";"2703.00.00.00.19";"- Diğerleri";"-";60
"null";;;;
"null";"2704.00";"Taşkömürü,linyit ve turbadan elde edilen kok ve semikok (aglo -";;
"null";;"mere edilmiş olsun olmasın); karni kömürü:";;
"null";"2704.00.10.00.00";" -Taşkömüründen elde edilen kok ve semikok";"-";60
"null";"2704.00.30.00.00";" - Linyitten elde edilen kok ve semikok";"-";60
"null";;" - Diğerleri :";" ";
"null";"2704.00.90.10.00";" - - Karni kömürü";"-";5
"null";"2704.00.90.90.00";" - - Diğerleri";"-";60
"null";;;;
"null";"2705.00.00.00.00";"Havagazı, sugazı, fakir gaz ve benzeri gazlar (petrol gazı ve ";;
"null";;"diğer gazlı hidrokarbonlar hariç)";"1 000 m3";15
"null";;;;
"null";"2706.00";"Taşkömürü, linyit ve turbanın damıtılmasından elde edilen katranlar";;
"null";;"ve diğer mineral katranlar (suyu alınmış veya kısmen damıtılmış";;
"null";;"olsun olmasın) (yeniden terkip edilmiş katranlar dahil)";" ";" "
"null";"2706.00.00.00.11";"- Taşkömürü katranı";"-";30
"null";"2706.00.00.00.19";"- Diğerleri";"-";30
"null";;;;
"null";"27.07";"Yüksek sıcaklıkta taşkömürü katranının damıtılmasından elde ";;
"null";;"edilen yağlar ve diğer ürünler; içindeki aromatik unsurların ağır -";;
"null";;"lığı aromatik olmayan unsurlardan fazla olan benzeri müstah-";;
"null";;"zarlar :";;
"null";"2707.10.00.00.00";" - Benzol (benzen)";"-";30
"null";"2707.20.00.00.00";" - Toluol (toluen)";"-";30
"null";"2707.30.00.00.00";" - Ksilol (ksilen)";"-";30
"null";"2707.40.00.00.00";" - Naftalin";"-";30
"null";"2707.50";" - ISO 3405 Metodu ile (ASTMD 86 Metoduna eşdeğer) ile ";;
"null";;"   250°C de hacim itibariyle % 65 veya daha fazlası (kayıplar dahil)";;
"null";;"   damıtılan diğer aromatik hidrokarbon karışımları:  ";;
"null";"2707.50.00.00.11";" - - Solvent nafta (çözücü nafta)";"-";30
"null";"2707.50.00.00.19";" - - Diğerleri ";"-";30
"null";;" - Diğerleri:";;
"null";"2707.91.00.00.00";" - - Kreozot yağları";"-";30
"null";"2707.99";" - - Diğerleri :";;
"null";;" - - - Ham yağlar:";;
"null";"2707.99.11.00.00";" - - - - 200°C ye kadar sıcaklıkta,hacim itibariyle % 90 veya daha fazla";;
"null";;"          damıtılmış ham hafif yağlar";"-";30
"null";"2707.99.19.00.00";" - - - - Diğerleri";"-";30
"null";"2707.99.20.00.00";" - - - Sülfürik asitle diğer kısımları alınmış petrol eterleri; Antrasen";"-";30
"null";;" - - - Bazik ürünler";;" "
"null";"2707.99.50.00.11";" - - - - Piridin";"-";30
"null";"2707.99.50.00.12";" - - - - Akridin";"-";30
"null";"2707.99.50.00.13";" - - - - Anilin";"-";30
"null";"2707.99.50.00.19";" - - - - Diğerleri:";"-";30
"null";;" - - - Fenoller";;
"null";"2707.99.80.00.11";" - - - - Krezoller";"-";30
"null";"2707.99.80.00.12";" - - - - Ksilenoller";"-";30
"null";"2707.99.80.00.13";" - - - - Kinoller";"-";30
"null";"2707.99.80.00.19";" - - - - Diğerleri";"-";30
"null";;" - - - Diğerleri:";;
"null";"2707.99.91.00.00";" - - - - 28.03 Pozisyonundaki ürünlerin imaline mahsus olanlar";"-";30
"null";"2707.99.99.00.00";" - - - - Diğerleri";"-";30
"null";;;;
"null";"27.08";"Taşkömürü katranından veya diğer mineral katranlardan elde ";;
"null";;"edilen  zift ve zift koku :";;
"null";"2708.10.00.00.00";" - Zift";"-";25
"null";"2708.20.00.00.00";" - Zift koku";"-";25
"null";;;;
"null";"2709.00";"Petrol yağları ve bitümenli minerallerden elde edilen yağlar (ham):";;
"null";"2709.00.10.00.00";" - Tabii gazın kondanseleri";"-";25
