"null";"94.01";"Oturmaya mahsus mobilyalar ( 94.02 pozisyonundakiler hariç)";;
"null";;"(yatak haline getirilebilir türden olsun olmasın) ve bunların aksam";;
"null";;"ve parçaları:";;
"null";"9401.10";" - Hava taşıtlarında kullanılan türden oturmaya mahsus mobilyalar:";;
"null";"9401.10.00.10.00";" - - Sivil hava taşıtlarında kullanılmaya mahsus olanlar (deriyle ";;
"null";;"      kaplanmamış) ";"-";100
"null";"9401.10.00.90.00";" - - Diğerleri";"-";100
"null";"9401.20.00.00.00";" - Motorlu taşıtlarda kullanılan türden oturmaya mahsus mobilyalar";"-";100
"null";;" - Yüksekliği ayarlanabilen oturmaya mahsus döner koltuk ve ";;
"null";;"    sandalyeler:";;
"null";"9401.31.00.00.00";" - - Ahşap olanlar";"-";100
"null";"9401.39";" - - Diğerleri:";;
"null";"9401.39.00.00.12";" - - - Adi metallerden koltuk ve sandalyeler";"-";100
"null";"9401.39.00.00.19";" - - - Diğer maddelerden koltuk ve sandalyeler";"-";100
"null";;" - Yatak haline getirilebilen oturmaya mahsus mobilyalar (kamp ";" ";
"null";;"   veya bahçede kullanılanlar hariç)";;
"null";"9401.41.00.00.00";" - - Ahşap olanlar";"-";100
"null";"9401.49.00.00.00";" - - Diğerleri";"-";100
"null";;" -  Kamış, sepetçi söğüdü, bambu veya benzeri ";" ";
"null";;"    maddelerden oturmaya mahsus mobilyalar:";;
"null";"9401.52.00.00.00";" - - Bambudan";"-";100
"null";"9401.53.00.00.00";" - - Hintkamışından";"-";100
"null";"9401.59.00.00.00";" - - Diğerleri ";"-";100
"null";;" - Ahşap iskeletli oturmaya mahsus diğer mobilyalar:";" ";
"null";"9401.61";" - - İçleri doldurulmuş, kaplanmış  olanlar:";;
"null";"9401.61.00.00.11";" - - - Çocuklar için olanlar";"-";100
"null";"9401.61.00.00.19";" - - - Diğerleri";"-";100
"null";"9401.69";" - - Diğerleri:";;
"null";"9401.69.00.00.11";" - - - Çocuklar için olanlar";"-";100
"null";"9401.69.00.00.19";" - - - Diğerleri";"-";100
"null";;" - Metal iskeletli oturmaya mahsus diğer mobilyalar:";" ";
"null";"9401.71";" - - İçleri doldurulmuş, kaplanmış  olanlar:";;
"null";"9401.71.00.00.11";" - - - Çocuklar için olanlar";"-";100
"null";"9401.71.00.00.19";" - - - Diğerleri";"-";100
"null";"9401.79";" - - Diğerleri:";;
"null";"9401.79.00.00.11";" - - - Çocuklar için olanlar";"-";100
"null";"9401.79.00.00.19";" - - - Diğerleri";"-";100
"null";"9401.80";" - Oturmaya mahsus diğer mobilyalar:";;
"null";"9401.80.00.00.11";" - - Çocuklar için olanlar";"-";100
"null";"9401.80.00.00.19";" - - Diğerleri";"-";100
"null";;" - Aksam ve parçalar:";" ";
"null";"9401.91";" - - Ahşap olanlar:";;
"null";"9401.91.10.00.00";" - - - Hava taşıtlarında kullanılan türden oturmaya mahsus mobilyalara ";" ";
"null";;"      ait olanlar";"-";100
"null";"9401.91.90.00.00";" - - - Diğerleri";"-";100
"null";"9401.99";" - - Diğerleri :";" ";
"null";"9401.99.10.00.00";" - - - Hava taşıtlarında kullanılan türden oturmaya mahsus mobilyalara ";" ";
"null";" ";"      ait olanlar";"-";100
"null";"9401.99.90.00.00";" - - - Diğerleri";"-";100
"null";;;" ";
"null";"94.02";"Tıpta, cerrahide, diş hekimliğinde ve veterinerlikte kullanılan ";" ";
"null";;"mobilyalar (ameliyat masaları, muayene masaları, kliniklerde ";" ";
"null";;"kullanılmaya mahsus mekanik tertibatlı karyolalar, dişci koltukları), ";" ";
"null";;"döndürme, yükseltme ve yatırma tertibatlı berber koltukları ve ";"  ";
"null";;"benzeri koltuklar; bu eşyaların aksam ve parçaları:";" ";
"null";"9402.10";" - Dişçilik veya berber koltukları veya benzeri koltuklar, bunların aksam";" ";
"null";;"   ve parçaları";" ";
"null";"9402.10.00.00.11";" - - Dişçilik koltukları";"-";50
"null";"9402.10.00.00.19";" - - Diğerleri";"-";50
"null";"9402.10.00.00.21";" - - Aksam ve parçalar";"-";50
"null";"9402.90";" - Diğerleri";" ";
"null";"9402.90.00.00.11";" - - Eğme, döndürme, yükseltme, alçaltma gibi fonksiyonlara haiz mekanik ";" ";
"null";" ";"      tertibatlı ameliyat masaları";"-";50
"null";"9402.90.00.00.12";" - - Ortopedik masalar";"-";50
"null";"9402.90.00.00.13";" - - Mekanik tertibatlı karyolalar";"-";50
"null";"9402.90.00.00.19";" - - Diğerleri";"-";50
"null";"9402.90.00.00.21";" - - Aksam ve parçalar";"-";50
"null";;;" ";
