"null";"87.01";"Traktörler (87.09 pozisyonuna giren traktörler hariç):";;
"null";"8701.10.00.00.00";" - Tek akslı traktörler";"Adet";30
"null";;" - Yarı römorkler için çekiciler:";" ";
"null";"8701.21";" - - Sadece sıkıştırma ateşlemeli içten yanmalı pistonlu motorlu olanlar ";;
"null";;"     (dizel veya yarı dizel):";;
"null";"8701.21.10.00.00";" - - - Yeni olanlar";"   Adet";30
"null";"8701.21.90.00.00";" - - - Kullanılmış olanlar";"   Adet";30
"null";"8701.22";" - - Hem sıkıştırma ateşlemeli içten yanmalı pistonlu motorlu ";;
"null";;"   (dizel veya yarı dizel) hem de tahrik gücü veren elektrik motorlu olanlar ";;
"null";"8701.22.10.00.00";" - - - Yeni olanlar";"   Adet";30
"null";"8701.22.90.00.00";" - - - Kullanılmış olanlar";"   Adet";30
"null";"8701.23";"  - - Hem kıvılcım ateşlemeli içten yanmalı pistonlu motorlu hem de";;
"null";;"    tahrik gücü veren elektrik motorlu olanlar";;
"null";"8701.23.10.00.00";" - - - Yeni olanlar";"   Adet";30
"null";"8701.23.90.00.00";" - - - Kullanılmış olanlar";"   Adet";30
"null";"8701.24";" - - Sadece elektrik motorundan tahrikli olanlar";;
"null";"8701.24.10.00.00";" - - - Yeni olanlar";"   Adet";30
"null";"8701.24.90.00.00";" - - - Kullanılmış olanlar";"   Adet";30
"null";"8701.29.00.00.00";" - - Diğerleri";"   Adet";30
"null";"8701.30.00.00.00";" - Paletli traktörler";"   Adet";30
"null";;" - Diğerleri:";;
"null";"8701.91";" - - Motor gücü 18 kW.ı geçmeyenler";;
"null";"8701.91.10.00.00";" - - - Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler";"   Adet";30
"null";"8701.91.90.00.00";" - - - Diğerleri";"   Adet";30
"null";"8701.92";" - - Motor gücü 18 kW.ı geçen fakat 37 kW.ı geçmeyenler";;
"null";"8701.92.10.00.00";" - - - Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler";"   Adet";30
"null";"8701.92.90.00.00";" - - - Diğerleri";"   Adet";30
"null";"8701.93";" - - Motor gücü 37 kW.ı geçen fakat 75 kW.ı geçmeyenler";;
"null";"8701.93.10.00.00";" - - - Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler";"   Adet";30
"null";"8701.93.90.00.00";" - - - Diğerleri";"   Adet";30
"null";"8701.94";" - - Motor gücü 75 kW.ı geçen fakat 130 kW.ı geçmeyenler";;
"null";"8701.94.10.00.00";" - - - Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler";"   Adet";30
"null";"8701.94.90.00.00";" - - - Diğerleri";"   Adet";30
"null";"8701.95";" - - Motor gücü 130 kW.ı geçenler";;
"null";"8701.95.10.00.00";" - - - Tekerlekli zirai traktörler ve ormancılıkta kullanılan tekerlekli traktörler";"   Adet";30
"null";"8701.95.90.00.00";" - - - Diğerleri";"   Adet";30
"null";;;;
"null";"87.02";"10 veya daha fazla kişi taşımaya mahsus (sürücü dahil) motorlu";;
"null";;"taşıtlar:";;
"null";"8702.10";" - Sadece sıkıştırma ateşlemeli içten yanmalı pistonlu motorlu olanlar ";;
"null";;"   (dizel veya yarı dizel):";;
"null";;" - - Silindir hacmi 2500 cm3.ü geçenler:";;
"null";" ";" - - - Yeni olanlar:";;
"null";"8702.10.11.11.00";" - - - - Otobüs";"   Adet";75
"null";"8702.10.11.12.00";" - - - - Midibüs";"   Adet";75
"null";"8702.10.11.13.00";" - - - - Minibüs";"   Adet";75
"null";" ";" - - - Kullanılmış olanlar:";" ";
