"null";"9905.00.00.00.00";"Yerleşim yerini nakleden gerçek kişilere ait şahsi eşya";;
"null";"99.19";"Diğerleri:";;
"null";"9919.00.00.00.11";" - Evlilik nedeniyle serbest dolaşıma giren eşya  ";;
"null";"9919.00.00.00.12";" - Miras yoluyla intikal eden eşya";;
"null";"9919.00.00.00.13";" - Öğrenim amacıyla gelen öğrencilere ait eğitim malzemeleri ve ev eşyası  ";;
"null";"9919.00.00.00.14";" - Ölü ihtiva eden tabutlar, ölülere ait kül ihtiva eden kaplar ve dekoratif cenaze eşyası ";;
"null";"9919.00.00.00.15";" - Kamu kurumları, hayır veya insani yardım kuruluşları tarafından getirilen eşya ";;
"null";"9919.00.00.00.16";" - Malül, sakatlar ve diğer engellilerin kullanımına mahsus eşya";;
"null";"9919.00.00.00.17";" - Kriz hallerinde zarar görenlere gönderilen eşya  ";;
"null";"9919.00.00.00.18";" - Kişisel eşya, yolcu beraberi eşya";;
"null";"9919.00.00.00.19";" - Diğerleri  ";;
"null";;;;
"null";"99.30";"Deniz ve hava taşıtlarına verilen eşya:";;
"null";"9930.24.00.00.00";" - 1 ila 24. fasıllardaki eşya";;
"null";"9930.99.00.00.00";" - Diğerleri (27. Fasıl hariç)";;
"null";;;;
"null";"99.31";"Açık denizde bulunan yapılardaki mürettebata veya yapılardaki motor, makine, cihaz gibi ";;
"null";;"ekipmanın çalışması için verilen eşya: ";;
"null";"9931.24.00.00.00";" - 1 ila 24. fasıllardaki eşya";;
"null";"9931.99.00.00.00";" - Diğerleri (27. Fasıl hariç)";;
